APOE	3.72036e-20
APOC1	3.72036e-20
TOMM40	4.85107e-17
NECTIN2	5.10427e-17
APOC1P1	2.8727e-14
DEPDC1B	5.79046e-08
ZNF106	6.67698e-08
SNAP23	6.67698e-08
NAALADL2	1.20136e-07
TAMM41	1.72896e-07
CDH18	3.1922e-07
DNAJC6	3.67015e-07
NHLH1	4.7837e-07
ZAP70	5.06618e-07
MCM4	5.16801e-07
RNU6-519P	5.16801e-07
BPIFC	5.78836e-07
SLC35F1	6.62727e-07
TMEM131	1.0676e-06
AKAP6	1.24012e-06
SOX6	1.30017e-06
PUS1	1.38827e-06
RNA5SP215	1.40491e-06
EP400	1.42258e-06
ABCA1	1.51964e-06
KLHL32	1.64541e-06
SMOC2	1.87548e-06
ACTR5	1.87861e-06
RN7SKP173	1.87896e-06
MAD1L1	1.91313e-06
RNU6-1017P	1.93355e-06
MMP17	1.93355e-06
SLC35F2	1.95242e-06
PRSS12	1.98285e-06
RN7SKP19	2.03415e-06
CADM2	2.09791e-06
PPP2R2B	2.10659e-06
PDE10A	2.148e-06
PPP1R16B	2.18942e-06
GANC	2.28656e-06
KLHL29	2.30572e-06
ARHGEF4	2.45212e-06
NUDT1	2.45927e-06
SNX8	2.45927e-06
AMHR2	2.59803e-06
PRR13	2.59803e-06
PCBP2	2.59803e-06
UBE2F-SCLY	2.77265e-06
SCLY	2.77265e-06
SBF2	3.40432e-06
RNU6-338P	3.41054e-06
DRG1	3.41054e-06
TAF4B	3.45318e-06
SNHG14	3.51796e-06
FRMD4B	3.56148e-06
SGCZ	3.57737e-06
KHDC4	3.70865e-06
SNORA80E	3.70865e-06
SCARNA4	3.70865e-06
SHISAL2A	4.189e-06
ABHD2	4.19708e-06
ARIH1	4.28569e-06
MAP2K5	4.59114e-06
CAPN3	4.62971e-06
KIF9-AS1	4.64582e-06
NAPEPLD	4.77729e-06
RPL19P12	4.77729e-06
SORCS1	4.995e-06
KIF9	5.39095e-06
CCDC171	5.70943e-06
ANGPT4	5.85308e-06
SPIDR	6.41428e-06
SNX3	6.51592e-06
LRMDA	6.60048e-06
TMEM61	6.812e-06
BSND	6.812e-06
SPOCK2	6.97037e-06
ASCC1	6.97037e-06
SYT10	7.0202e-06
NDUFS5P5	7.13022e-06
CD55	7.15458e-06
RNU4ATAC8P	7.48994e-06
UVRAG	7.4986e-06
ZMIZ1	7.67228e-06
LCE5A	7.81123e-06
CRCT1	7.81123e-06
EIF4BP8	8.15262e-06
LIMK2	8.26898e-06
FAM83E	8.34522e-06
SPACA4	8.34522e-06
RPL18	8.34522e-06
SPHK2	8.34522e-06
DSCAM	8.48369e-06
MEAK7	8.70323e-06
CNTN5	8.93325e-06
MYL3	9.40036e-06
ARHGAP15	9.45926e-06
DOCK1	9.64167e-06
CFAP54	9.76564e-06
DPY19L2P2	1.00889e-05
FAM135A	1.08215e-05
TCF12	1.08975e-05
GRM8	1.103e-05
SRP19	1.11191e-05
SGMS2	1.17919e-05
LCA5	1.29203e-05
ATP2B2	1.29868e-05
SAMD13	1.29949e-05
MSI2	1.3029e-05
CDHR3	1.30583e-05
SVEP1	1.32768e-05
RNU6-1039P	1.32768e-05
PIWIL2	1.33049e-05
ZNF682	1.35153e-05
ZNRF2	1.35739e-05
ARHGEF3	1.37525e-05
ZNF804B	1.38467e-05
HS6ST3	1.39215e-05
TMBIM4	1.398e-05
IRAK3	1.398e-05
MRM2	1.40436e-05
PPP2R2B-IT1	1.43085e-05
RASGRF2	1.43876e-05
HDAC9	1.47138e-05
SETD2	1.52471e-05
DHCR7	1.5405e-05
TOMM22P6	1.55917e-05
DIO2	1.58488e-05
DIO2-AS1	1.58488e-05
PEAR1	1.58833e-05
SLC49A4	1.59901e-05
STIM1	1.62148e-05
SNTB1	1.64614e-05
CTNNA2	1.65752e-05
ARHGAP31	1.66958e-05
MIR630	1.67341e-05
AIM2	1.71636e-05
UBE2V2	1.75645e-05
SLC25A48	1.80745e-05
HNRNPA1P5	1.84815e-05
TTC8	1.87125e-05
ENDOD1	1.87622e-05
TTC12	1.8864e-05
ANKK1	1.8864e-05
NRG3	1.93693e-05
GRK3	1.94411e-05
UBE2F	1.97795e-05
DNAH8	2.02069e-05
SNORA8	2.02069e-05
GRIN2B	2.08325e-05
NXPH1	2.10078e-05
DENND2C	2.11027e-05
FYB1	2.11367e-05
TIPRL	2.16771e-05
ASTN2	2.18061e-05
RIT1	2.21334e-05
PRKCE	2.3131e-05
CTNND2	2.35562e-05
MIR4277	2.36751e-05
PIEZO2	2.38454e-05
PDE1C	2.39695e-05
SNX2P2	2.39695e-05
ESR1	2.40399e-05
PRKDC	2.45028e-05
MCTP1	2.45721e-05
DCLK3	2.46651e-05
SLC39A2	2.46756e-05
